word1,word2,num_paths,word_count_wiwj,degree_wiwj,degree_centrality_wiwj,closeness_centrality_wiwj,betweenness_wiwj,betweenness_centrality_wiwj,eigenvector_centrality_wiwj,clustering_coefficient_wiwj,preferential_attachment,shortest_path_length,word_count_i,degree_i,degree_centrality_i,closeness_centrality_i,betweenness_i,betweenness_centrality_i,eigenvector_centrality_i,clustering_coefficient_i,word_count_j,degree_j,degree_centrality_j,closeness_centrality_j,betweenness_j,betweenness_centrality_j,eigenvector_centrality_j,clustering_coefficient_j
文具店,足球,440205,164,200,0.005314061,0.185481248,146048.1719,0.000416714,0.019331854,0.02,200,1,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
文具店,草,444966,22,28,0.000743969,0.147337927,1158.542543,3.30563E-06,0.006493022,0.238095238,28,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
文具店,足球场,443714,18,40,0.001062812,0.148234506,4000.184241,1.14136E-05,0.006958964,0.122222222,40,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,9,10,0.051546392,0.393509128,132.0548191,0.007053834,0.106770164,0.244444444
文具店,简笔画,241161,2,12,0.000318844,0.143857503,329.8643101,9.4119E-07,0.00387919,0.166666667,12,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,1,3,0.015463918,0.381889764,10.88954138,0.000581675,0.059517737,0.333333333
文具店,绘画材料,184964,2,8,0.000212562,0.142178233,0,0,0.003312312,0.5,8,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,1,2,0.010309278,0.377431907,0,0,0.050820225,1
大自然,文具店,377431,8,20,0.000531406,0.141353214,1070.743787,3.05511E-06,0.005087817,0.25,20,3,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5
文具店,纤维材料,184751,2,8,0.000212562,0.143574876,0,0,0.003594574,0.5,8,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,1,2,0.010309278,0.381139489,0,0,0.055150914,1
植物,笔,440045,492,342,0.009087044,0.214215787,1902751.657,0.005429052,0.025562002,0.006182122,342,1,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333
中性笔,笔,353329,492,318,0.008449357,0.203561075,1969695.7,0.005620061,0.019317362,0.003870343,318,1,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333
暴雨,笔,607373,492,276,0.007333404,0.202500861,1222507.012,0.003488135,0.022602027,0.00863124,276,2,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333
笔,足球,582497,492,300,0.007971092,0.197361245,1562748.916,0.004458935,0.019929715,0.005333333,300,2,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
笔,草,380334,66,42,0.001115953,0.15677486,12396.67077,3.5371E-05,0.006693826,0.063492063,42,2,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
笔,足球场,399171,54,60,0.001594218,0.157728865,42802.88829,0.000122128,0.007174179,0.032592593,60,2,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333,9,10,0.051546392,0.393509128,132.0548191,0.007053834,0.106770164,0.244444444
笔,简笔画,199265,6,18,0.000478265,0.153071517,3529.623729,1.00709E-05,0.003999159,0.044444444,18,2,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333,1,3,0.015463918,0.381889764,10.88954138,0.000581675,0.059517737,0.333333333
笔,绘画材料,147514,6,12,0.000318844,0.15128469,0,0,0.00341475,0.133333333,12,2,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333,1,2,0.010309278,0.377431907,0,0,0.050820225,1
大自然,笔,276610,24,30,0.000797109,0.150406829,11457.20396,3.26904E-05,0.005245164,0.066666667,30,2,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333
笔,纤维材料,160108,6,12,0.000318844,0.152770787,0,0,0.00370574,0.133333333,12,2,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333,1,2,0.010309278,0.381139489,0,0,0.055150914,1
文具店,笔,235024,12,24,0.000637687,0.150990933,9818.486808,2.80147E-05,0.004379424,0.066666667,24,2,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333
学习用品,植物,1238445,3198,912,0.024232118,0.209455436,1308198.789,0.003732636,0.046577816,0.009680795,912,2,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915
中性笔,学习用品,843726,3198,848,0.022531619,0.199037495,1354224.825,0.003863961,0.035199142,0.006060703,848,1,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209
学习用品,暴雨,1324603,3198,736,0.019555744,0.198000842,840510.2096,0.002398197,0.041184295,0.013515953,736,2,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343
学习用品,足球,1064763,3198,800,0.021256244,0.19297544,1074436.716,0.003065651,0.036314941,0.008351648,800,2,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
学习用品,草,821810,429,112,0.002975874,0.153290974,8523.082681,2.43186E-05,0.01219716,0.099424385,112,3,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
学习用品,足球场,826750,351,160,0.004251249,0.154223779,29428.2685,8.39666E-05,0.013072433,0.051037851,160,2,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,9,10,0.051546392,0.393509128,132.0548191,0.007053834,0.106770164,0.244444444
学习用品,简笔画,440982,39,48,0.001275375,0.149669928,2426.722097,6.92408E-06,0.00728707,0.06959707,48,2,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,1,3,0.015463918,0.381889764,10.88954138,0.000581675,0.059517737,0.333333333
学习用品,绘画材料,333865,39,32,0.00085025,0.147922808,0,0,0.006222188,0.208791209,32,2,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,1,2,0.010309278,0.377431907,0,0,0.050820225,1
